Scenario, Bench, Heap size, Direct Mem, # Threads, Final Size, Throughput, gc

ascend-only, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.03191547788500875
ascend-only, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.15823131693448686
ascend-only, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.31049762850689516
ascend-only, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.45678569838696664



descend-only, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.00397740426312244
descend-only, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.01601732692555539
descend-only, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.03146250023593686
descend-only, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.04416984962879112



zc-ascend-only, OakMap, 12g, 20g, 01, 1.0E7, 0.04500162344790996
zc-ascend-only, OakMap, 12g, 20g, 04, 1.0E7, 0.2003344408919008
zc-ascend-only, OakMap, 12g, 20g, 08, 1.0E7, 0.42935260714570206
zc-ascend-only, OakMap, 12g, 20g, 12, 1.0E7, 0.5598378790356463

zc-ascend-only, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.03532393624805177
zc-ascend-only, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.16284662595122698
zc-ascend-only, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.31277398884859076
zc-ascend-only, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.40716738652546897

zc-ascend-only, YoniList2, 12g, 20g, 01, 1.0E7, 0.037012890365541416
zc-ascend-only, YoniList2, 12g, 20g, 04, 1.0E7, 0.15960655881667934
zc-ascend-only, YoniList2, 12g, 20g, 08, 1.0E7, 0.31283221442624537
zc-ascend-only, YoniList2, 12g, 20g, 12, 1.0E7, 0.4593381133572884

ascend-only-aggregate, OakMap, 12g, 20g, 01, 1.0E7, 0.018851349268836626
ascend-only-aggregate, OakMap, 12g, 20g, 04, 1.0E7, 0.06905331873975377
ascend-only-aggregate, OakMap, 12g, 20g, 08, 1.0E7, 0.05200374655625206
ascend-only-aggregate, OakMap, 12g, 20g, 12, 1.0E7, 0.04776313958148126

ascend-only-aggregate, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.016059930318841415
ascend-only-aggregate, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.053741910113955405
ascend-only-aggregate, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.052389551728994975
ascend-only-aggregate, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.04824703537609539

ascend-only-aggregate, YoniList2, 12g, 20g, 01, 1.0E7, 0.023833241377639074
ascend-only-aggregate, YoniList2, 12g, 20g, 04, 1.0E7, 0.08018780550400383
ascend-only-aggregate, YoniList2, 12g, 20g, 08, 1.0E7, 0.052157714423128256
ascend-only-aggregate, YoniList2, 12g, 20g, 12, 1.0E7, 0.04830284183440597




zc-descend-only-entries, OakMap, 12g, 20g, 01, 1.0E7, 0.05116579965620158
zc-descend-only-entries, OakMap, 12g, 20g, 04, 1.0E7, 0.14991926974712552
zc-descend-only-entries, OakMap, 12g, 20g, 08, 1.0E7, 0.306300416781161
zc-descend-only-entries, OakMap, 12g, 20g, 12, 1.0E7, 0.28085729267282256

zc-descend-only-entries, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.0040271370328508575
zc-descend-only-entries, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.016773098233556532
zc-descend-only-entries, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.03240104810390233
zc-descend-only-entries, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.045931386905465575

zc-descend-only-entries, YoniList2, 12g, 20g, 01, 1.0E7, 7.184366614113396E-8
zc-descend-only-entries, YoniList2, 12g, 20g, 04, 1.0E7, 2.470527479889801E-7
zc-descend-only-entries, YoniList2, 12g, 20g, 08, 1.0E7, 4.881208089112066E-7
zc-descend-only-entries, YoniList2, 12g, 20g, 12, 1.0E7, 5.050984301799273E-7

zc-ascend-only-entries, OakMap, 12g, 20g, 01, 1.0E7, 0.04638131005372952
zc-ascend-only-entries, OakMap, 12g, 20g, 04, 1.0E7, 0.1509742109107702
zc-ascend-only-entries, OakMap, 12g, 20g, 08, 1.0E7, 0.24100401914191508
zc-ascend-only-entries, OakMap, 12g, 20g, 12, 1.0E7, 0.3041524154468916

zc-ascend-only-entries, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.03269541506432456
zc-ascend-only-entries, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.16186313441176853
zc-ascend-only-entries, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.32609272429119956
zc-ascend-only-entries, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.4428468142190001

zc-ascend-only-entries, YoniList2, 12g, 20g, 01, 1.0E7, 1.5608525491298884E-6
zc-ascend-only-entries, YoniList2, 12g, 20g, 04, 1.0E7, 6.805186474692696E-6
zc-ascend-only-entries, YoniList2, 12g, 20g, 08, 1.0E7, 1.326526006127073E-5
zc-ascend-only-entries, YoniList2, 12g, 20g, 12, 1.0E7, 1.9443804269850205E-5



zc-ascend-only-10k, OakMap, 12g, 20g, 01, 1.0E7, 0.0013622540873616262
zc-ascend-only-10k, OakMap, 12g, 20g, 04, 1.0E7, 0.0038770210254754716
zc-ascend-only-10k, OakMap, 12g, 20g, 08, 1.0E7, 0.0060615904214974875
zc-ascend-only-10k, OakMap, 12g, 20g, 12, 1.0E7, 0.007717685431284805

